CH1,CH10
98.6633,-0.0405884
96.7712,-0.0476074
95.2759,-0.0537109
94.0552,-0.0585938
93.1091,-0.0631714
92.3157,-0.0663757
91.7358,-0.0706482
91.1865,-0.0735474
90.3625,-0.078125
89.6606,-0.0852966
88.9892,-0.0917053
88.4094,-0.0976562
87.8906,-0.101166
87.5549,-0.100708
87.2192,-0.0967407
87.0056,-0.0878906
86.792,-0.0723267
86.5478,-0.0512695
85.9375,-0.0257874
85.2966,0.00747681
84.8083,0.0473022
84.2285,0.092926
83.8623,0.14328
83.5266,0.197906
83.2825,0.26001
82.9773,0.326233
82.8247,0.396576
82.6111,0.471649
82.2143,0.550079
81.7566,0.633698
81.4209,0.723419
81.0852,0.819855
80.78,0.922546
80.5969,1.03073
80.4138,1.14471
80.3222,1.25854
80.1086,1.36902
79.9866,1.47293
79.4678,1.56601
78.949,1.64719
78.4302,1.71356
77.9724,1.76376
77.6977,1.79596
77.4536,1.80511
77.1484,1.78864
76.9653,1.74637
76.8432,1.67374
76.5991,1.57639
76.1413,1.4566
75.592,1.32034
75.0732,1.17447
74.646,1.02356
74.2492,0.873413
73.9441,0.724182
73.7305,0.578766
73.5779,0.438385
73.4558,0.305176
73.2117,0.182495
72.8149,0.0718689
72.3877,-0.0268555
72.0215,-0.114441
71.7163,-0.186768
71.4722,-0.244751
71.1975,-0.289459
71.0754,-0.321503
70.8923,-0.344543
70.8008,-0.362549
70.6482,-0.37323
70.1904,-0.379333
69.7021,-0.382843
69.3359,-0.385132
68.9697,-0.384979
68.634,-0.38269
68.3594,-0.378876
68.1152,-0.37384
68.0237,-0.370636
67.9626,-0.366516
67.749,-0.365448
67.5964,-0.367126
67.4133,-0.370026
67.2302,-0.374908
67.0471,-0.379181
66.9555,-0.383911
66.8335,-0.387726
66.7419,-0.391541
66.6504,-0.392609
66.6504,-0.392303
66.5893,-0.392456
66.4367,-0.388641
66.2231,-0.385895
66.1621,-0.381165
65.918,-0.374756
65.918,-0.368652
65.7348,-0.362091
65.6738,-0.352631
65.6128,-0.343018
65.6128,-0.335236
65.5517,-0.326843
65.4297,-0.319977
65.094,-0.313416
64.9109,-0.30777
64.6667,-0.301361
64.6057,-0.294037
64.3921,-0.284271
64.3005,-0.273895
64.27,-0.260468
64.2395,-0.248108
64.1174,-0.233612
63.9343,-0.22049
63.7512,-0.20813
63.6902,-0.198059
63.5376,-0.188751
63.385,-0.182648
63.2934,-0.179596
63.2934,-0.177765
63.2019,-0.178223
63.1409,-0.179443
63.0493,-0.181732
63.0493,-0.184174
63.0798,-0.186462
63.0493,-0.188293
63.0188,-0.189209
63.0493,-0.191345
63.0188,-0.19165
63.0188,-0.19165
63.0188,-0.191498
62.9883,-0.191498
62.9577,-0.193939
62.9883,-0.19577
62.8662,-0.198975
62.7746,-0.202942
62.7441,-0.210419
62.6831,-0.217743
62.6526,-0.22644
62.5915,-0.232239
62.5915,-0.237122
62.5,-0.240631
62.4389,-0.240479
61.8896,-0.238953
61.3708,-0.232697
60.8826,-0.224762
60.4248,-0.215607
59.9975,-0.204163
59.7229,-0.191803
59.4482,-0.177307
59.2346,-0.164642
59.1125,-0.152588
58.9294,-0.144196
58.3801,-0.13855
57.8308,-0.136414
57.312,-0.137482
56.8847,-0.141907
56.5185,-0.146942
56.1828,-0.153809
55.9997,-0.160065
